lat|lon
''52,447087''|''-1,888401''
''53,739607''|''-2,484698''
''55,988759''|''-2,515608''
''53,698021''|''-2,266347''
''50,967863''|''0,086443''
''51,288694''|''1,103886''
''56,080706''|''-3,378858''
''51,256292''|''-0,591495''
''51,366569''|''-0,789741''
''51,597845''|''-3,049542''
''51,743911''|''-0,472427''
''51,135692''|''0,266494''
''51,511447''|''-0,142561''
''53,258304''|''-2,557756''
''52,029745''|''-0,939932''
''51,584948''|''-2,981407''
''51,517732''|''-0,114343''
''53,978235''|''-1,065381''
''53,544252''|''-2,109534''
''52,942204''|''-1,46585''
''51,622144''|''-0,77049''
''53,476557''|''-2,293523''
''52,232933''|''-0,912696''
''51,265167''|''-2,286316''
''54,010715''|''-1,47102''
''51,377125''|''-0,811736''
''51,460725''|''-0,974799''
''51,475193''|''-0,410862''
''52,663899''|''-2,683584''
''55,769058''|''-4,093925''
''51,433568''|''0,238002''
''51,147151''|''-3,072718''
''53,899384''|''-1,345563''
''51,578708''|''0,134595''
''55,539435''|''-5,120747''
''56,106529''|''-3,162407''
''51,017354''|''0,982833''
''50,971994''|''-1,365385''
''55,752529''|''-4,633837''
''51,897868''|''0,787296''
''52,322442''|''-2,073505''
''55,838839''|''-4,554904''
''51,440463''|''-0,10734''
''54,642277''|''-1,239109''
''52,326521''|''-0,609072''
''53,447838''|''-1,398445''
''52,147849''|''-3,402347''
''51,550209''|''0,646887''
''53,394275''|''-2,967487''
''53,99255''|''-1,538606''
''52,803099''|''-2,128901''
''54,303021''|''-2,193944''
''51,279758''|''-0,274101''
''51,596166''|''-1,766181''
''54,963164''|''-2,773974''
''55,834337''|''-4,416766''
''51,361998''|''1,135667''
''53,694488''|''-1,292845''
''53,609963''|''-2,390787''
''54,471967''|''-6,348116''
''52,775089''|''-1,201559''
''52,342794''|''0,153045''
''54,911991''|''-2,934652''
''51,415205''|''-0,053734''
''54,559268''|''-1,149652''
''55,015511''|''-1,583303''
''53,361712''|''-1,496579''
''53,802205''|''-1,755861''
''51,880693''|''-5,139561''
''54,611614''|''-5,937258''
''51,515694''|''-0,119601''
''50,263498''|''-5,048722''
''51,51557''|''-3,230966''
''51,715453''|''0,506392''
''54,571418''|''-1,321218''
''51,45843''|''-2,574179''
''55,618216''|''-3,527226''
''51,496429''|''-0,137437''
''51,538689''|''-0,004792''
''51,402452''|''-0,053082''
''51,893419''|''-3,242647''
''51,61453''|''-3,965475''
''51,415934''|''-0,304974''
''52,502765''|''-0,706116''
''51,473776''|''-0,096544''
''52,604258''|''-3,18868''
''51,508043''|''0,007271''
''52,523889''|''-1,834705''
''51,203126''|''0,426047''
''53,508735''|''-2,385437''
''53,848932''|''-1,513449''
''52,473343''|''-1,930233''
''56,781263''|''-2,514829''
